year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2030,baseline,AIDSdeathsAdultF,2050,10,21212.449999999997,21527.7075,20897.192499999997
2030,baseline,AIDSdeathsAdultM,2050,10,22137.25,22454.2175,21820.2825
2030,baseline,ARTcoverageAdult,2050,10,0.7585390000000001,0.76054825,0.75652975
2030,baseline,CondomUsage,2050,10,32.544243990543286,32.675312575731226,32.41317540535535
2030,baseline,FSWCondomUsage,2050,10,80.88052336035332,81.1984237104002,80.56262301030642
2030,baseline,HIVinc15to49,2050,10,0.0037502250000000003,0.00378881875,0.0037116312500000003
2030,baseline,NewAdultHIV,2050,10,135804,137618.5,133989.5
2030,baseline,SWsexActs,2050,10,131883000,131928600,131837400
2030,baseline,SWsexActsProt,2050,10,106667500,107049875,106285125
2030,baseline,TotalAIDSdeathsadult,2050,10,43349.7,43351.409999999996,43347.99
2030,baseline,TotalHIVtests,2050,10,19536000,21360950.000000004,17711050
2030,baseline,TotProtSexActs,2050,10,201388500,205335275,197441725
2030,baseline,TotSexActs,2050,10,618771500,628406875,609136125
2030,intervention,AIDSdeathsAdultF,2050,10,21223.85,21540.4375,20907.262499999997
2030,intervention,AIDSdeathsAdultM,2050,10,22147.7,22461.96,21833.440000000002
2030,intervention,ARTcoverageAdult,2050,10,0.7585390000000001,0.76054825,0.75652975
2030,intervention,CondomUsage,2050,10,32.544243990543286,32.675312575731226,32.41317540535535
2030,intervention,FSWCondomUsage,2050,10,80.88052336035332,81.1984237104002,80.56262301030642
2030,intervention,HIVinc15to49,2050,10,0.003759255,0.00379857075,0.00371993925
2030,intervention,NewAdultHIV,2050,10,136086.5,137924.275,134248.725
2030,intervention,SWsexActs,2050,10,131883000,131928600,131837400
2030,intervention,SWsexActsProt,2050,10,106667500,107049875,106285125
2030,intervention,TotalAIDSdeathsadult,2050,10,43371.55,43373.877499999995,43369.2225
2030,intervention,TotalHIVtests,2050,10,17165050,18721102.5,15608997.5
2030,intervention,TotProtSexActs,2050,10,201388500,205335275,197441725
2030,intervention,TotSexActs,2050,10,618771500,628406875,609136125
2031,baseline,AIDSdeathsAdultF,2050,10,21296.9,21617.715,20976.085
2031,baseline,AIDSdeathsAdultM,2050,10,22001.55,22299.422499999997,21703.6775
2031,baseline,ARTcoverageAdult,2050,10,0.7606200000000001,0.7625228500000001,0.75871715
2031,baseline,CondomUsage,2050,10,32.63139782144847,32.76057242396219,32.50222321893476
